ปี,ก่อนประถมศึกษา,เฉลี่ยประถมต้น-ปลาย,มัธยมศึกษาตอนต้น,มัธยมศึกษาตอนปลาย,ปริญญาตรีและต่ำกว่า
2537,"1,684,009","3,144,884","2,200,323","1,184,722","1,105,147"
2538,"1,919,639","2,981,307","2,363,447","1,320,561","1,172,361"
2539,"2,025,747","2,954,701","2,445,261","1,481,628","1,277,245"
2540,"2,334,247","2,963,951","2,462,556","1,634,775","1,459,489"
2541,"2,158,929","2,968,200","2,426,931","1,679,878","1,581,157"
2542,"2,162,776","2,979,879","2,375,218","1,727,484","1,597,334"
2543,"2,167,651","3,010,686","2,339,817","1,725,558","1,729,296"
2544,"2,108,175","3,028,212","2,338,674","1,713,973","1,784,481"
2545,"2,070,760","3,048,713","2,368,920","1,699,734","1,848,861"
2546,"1,941,969","3,034,476","2,562,711","1,706,413","2,107,303"
2547,"1,824,732","2,983,263","2,672,432","1,729,389","2,043,806"
2548,"1,806,282","2,921,756","2,761,216","1,767,546","2,086,029"
2549,"1,771,998","2,848,236","2,782,081","1,868,999","2,298,704"
2550,"1,758,573","2,782,312","2,782,834","1,945,929","2,212,619"
2551,"1,770,386","2,685,273","2,794,218","1,974,980","2,209,413"
2552,"1,780,074","2,569,238","2,792,286","2,003,534","2,093,545"
2553,"1,811,203","2,533,373","2,802,213","2,070,566","1,757,302"
2554,"1,813,538","2,495,918","2,662,270","2,109,873","1,811,733"
2555,"1,799,125","2,467,861","2,497,692","2,141,289","1,973,304"
2556,"1,749,196","2,452,730","2,391,390","2,144,118","1,785,367"
2557,"1,678,415","2,435,289","2,356,200","2,088,027","1,782,948"
2558,"1,715,391","2,433,539","2,344,378","2,016,697","1,864,686"
2559,"1,730,728","2,413,385","2,314,057","1,941,524","1,876,539"
2560,"1,813,711","2,375,646","2,315,413","1,910,115","1,805,870"
